date,open,high,low,close
2019-02-18,8.5875959000,8.8285148800,8.5798243200,8.8285148800
2019-02-19,8.8285148800,9.0305759600,8.7352559200,8.7585706600
2019-02-20,8.8052001400,8.9606317400,8.7430275000,8.8673727800
2019-02-21,8.8440580400,8.9761749000,8.7663422400,8.8285148800
2019-02-22,8.8207433000,8.9917180600,8.6653117000,8.9684033200
2019-02-25,9.0927486000,9.8232771200,8.9917180600,9.7533329000
2019-02-26,9.7533329000,9.7688760600,9.4424697000,9.4813276000
2019-02-27,9.5124139200,9.8388202800,9.4424697000,9.6367592000
2019-02-28,9.6678455200,9.7999623800,9.5357286600,9.6056728800
2019-03-01,9.6989318400,9.9320792400,9.4813276000,9.9165360800
2019-03-04,9.8699066000,10.3983740400,9.8077339600,10.0952824200
2019-03-05,10.0331097800,10.3284298200,9.9787087200,10.1496834800
2019-03-06,10.1496834800,10.2196277000,9.9787087200,10.1652266400
2019-03-07,10.1496834800,10.1496834800,9.7533329000,9.9009929200
2019-03-08,9.7067034200,9.8699066000,9.5201855000,9.5590434000
2019-03-11,9.5590434000,9.7067034200,9.3647539000,9.5745865600
2019-03-12,9.7067034200,9.8232771200,9.5124139200,9.6056728800
2019-03-13,9.5901297200,9.7533329000,9.4269265400,9.6134444600
2019-03-14,9.5823581400,9.8077339600,9.5357286600,9.6600739400
2019-03-15,9.5901297200,9.8543634400,9.5901297200,9.7144750000
2019-03-18,9.7377897400,10.0564245200,9.5745865600,10.0331097800
2019-03-19,10.0408813600,10.0564245200,9.7999623800,9.9398508200
2019-03-20,9.8543634400,10.0097950400,9.8077339600,9.9087645000
2019-03-21,9.9243076600,9.9476224000,9.7766476400,9.8621350200
2019-03-22,9.8621350200,9.9009929200,9.7144750000,9.7844192200
2019-03-25,9.6367592000,9.6367592000,9.4036118000,9.4113833800
2019-03-26,9.5046423400,9.5512718200,9.3336675800,9.4036118000
2019-03-27,9.5124139200,9.6911602600,9.4657844400,9.6212160400
2019-03-28,9.5668149800,9.5668149800,9.4036118000,9.4968707600
2019-03-29,9.5279570800,9.9631655600,9.4890991800,9.9631655600
2019-04-01,9.9709371400,10.5304909000,9.9709371400,10.2429424400
2019-04-02,10.3206582400,10.4760898400,10.2818003400,10.3828308800
2019-04-03,10.2662571800,10.4527751000,10.2196277000,10.4450035200
2019-04-04,10.4372319400,10.8802120000,10.4372319400,10.7714098800
2019-04-08,10.8024962000,11.2143899400,10.6626077600,10.8491256800
2019-04-09,10.7791814600,10.8646688400,10.6859225000,10.7325519800
2019-04-10,10.6859225000,10.7869530400,10.4139172000,10.6703793400
2019-04-11,10.6703793400,10.8491256800,10.4838614200,10.5227193200
2019-04-12,10.4838614200,10.5615772200,10.2662571800,10.4294603600
2019-04-15,10.6626077600,10.9501562200,10.6159782800,10.6392930200
2019-04-16,10.6237498600,11.3309636400,10.5304909000,11.3309636400
2019-04-17,11.2066183600,11.3387352200,11.0589583400,11.1522173000
2019-04-18,11.1133594000,11.1677604600,10.9656993800,11.1444457200
2019-04-19,11.2299331000,11.5019384000,11.1133594000,11.4475373400
2019-04-22,11.3465068000,11.5330247200,10.9423846400,10.9967857000
2019-04-23,10.9579278000,11.0356436000,10.8568972600,10.9346130600
2019-04-24,11.2299331000,11.3465068000,11.0045572800,11.2221615200
2019-04-25,11.1755320400,11.3775931200,10.9812425400,10.9812425400
2019-04-26,10.9423846400,11.0745015000,10.6470646000,10.7170088200
2019-04-29,10.8024962000,11.1366741400,10.7714098800,10.9579278000
2019-04-30,10.8724404200,10.9190699000,10.5615772200,10.7636383000
2019-05-06,10.1807698000,10.3750593000,9.8776781800,10.0020234600
2019-05-07,10.1263687400,10.1729982200,9.8854497600,10.0641961000
2019-05-08,9.8854497600,10.0331097800,9.7144750000,9.7921908000
2019-05-09,9.7300181600,9.7766476400,9.3647539000,9.4502412800
2019-05-10,9.5901297200,9.9087645000,9.4036118000,9.8543634400
2019-05-13,9.5823581400,9.7455613200,9.5046423400,9.5590434000
2019-05-14,9.4813276000,9.9087645000,9.4502412800,9.7067034200
2019-05-15,9.7766476400,10.1885413800,9.7688760600,10.0408813600
2019-05-16,10.0486529400,10.0952824200,9.9320792400,9.9864803000
2019-05-17,10.0408813600,10.0486529400,9.6056728800,9.6678455200
2019-05-20,9.5979013000,9.7455613200,9.5201855000,9.6212160400
2019-05-21,9.6367592000,9.8932213400,9.6056728800,9.7611044800
2019-05-22,9.7688760600,9.7688760600,9.5745865600,9.6367592000
2019-05-23,9.5124139200,9.6523023600,9.4346981200,9.5512718200
2019-05-24,9.5979013000,9.6756171000,9.5668149800,9.5979013000
2019-05-27,9.4890991800,9.6523023600,9.2714949400,9.6134444600
2019-05-28,9.5668149800,9.7533329000,9.5279570800,9.7067034200
